"id","name","effect","short_effect"
"107","anticipation","When this Pokémon enters battle, if one of its opponents has a move that is super effective against it, self destruct, explosion, or a one-hit knockout move, all participating trainers are notified.

The move itself is not revealed; only that there is such a move.  Moves that inflict typeless damage, such as future sight, and moves of variable type, such as hidden power, count as their listed types.  counter, metal burst, mirror coat, and one-hit KO moves to which this Pokémon is immune do not trigger this ability.","Notifies all trainers upon entering battle if an opponent has a super-effective move, self destruct, explosion, or a one-hit KO move."
"108","forewarn","When this Pokémon enters battle, it reveals the move with the highest base power known by any opposing Pokémon to all participating trainers.

In the event of a tie, one is chosen at random.

Moves without a listed base power are assigned one as follows:

Power | Moves
----: | -----
  160 | One-hit KO moves: fissure, guillotine, horn drill, and sheer cold
  120 | Counter moves: counter, metal burst, and mirror coat
   80 | Variable power or set damage: crush grip, dragon rage, electro ball, endeavor, final gambit, flail, frustration, grass knot, gyro ball, heat crash, heavy slam, hidden power, low kick, natural gift, night shade, psywave, return, reversal, seismic toss, sonic boom, trump card, and wring out
    0 | Any such move not listed
","Reveals the opponents' strongest move upon entering battle."
"109","unaware","This Pokémon ignores other Pokémon's stat modifiers for the purposes of damage and accuracy calculation.

Effectively, this affects modifiers of every stat except Speed.

The power of punishment and stored power is calculated as usual.  When this Pokémon hurts itself in confusion, its stat modifiers affect damage as usual.","Ignores other Pokémon's stat modifiers for damage and accuracy calculation."
"110","tinted lens","This Pokémon deals twice as much damage with moves that are not very effective against the target.","Doubles damage inflicted with not-very-effective moves."
"111","filter","This Pokémon takes 0.75× as much damage from moves that are super effective against it.

This ability functions identically to solid rock.","Decreases damage taken from super-effective moves by 1/4."
"112","slow start","This Pokémon's Attack and Speed are halved for five turns upon entering battle.

This ability also takes effect when acquired during battle.  If this Pokémon loses its ability before the five turns are up, its Attack and Speed return to normal; if it then regains this ability without leaving battle, its Attack and Speed are halved again, but the counter keeps counting from where it was.","Halves Attack and Speed for five turns upon entering battle."
"113","scrappy","This Pokémon ignores ghost-type Pokémon's immunity to normal- and fighting-type moves.

Ghost Pokémon's other types affect damage as usual.","Lets the Pokémon's normal and fighting moves hit ghost Pokémon."
"114","storm drain","All other Pokémon's single-target water-type moves are redirected to this Pokémon, if it is an eligible target.  Other Pokémon's Water moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it.

If the move's intended target also has this ability, the move is not redirected.  When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon.  follow me takes precedence over this ability.","Redirects single-target water moves to this Pokémon where possible.  Absorbs Water moves, raising Special Attack one stage."
"115","ice body","This Pokémon heals for 1/16 of its maximum HP after each turn during hail, and it does not take hail damage regardless of type.","Heals for 1/16 max HP after each turn during hail.  Protects against hail damage."
"116","solid rock","This Pokémon takes 0.75× as much damage from moves that are super effective against it.

This ability functions identically to filter.","Decreases damage taken from super-effective moves by 1/4."
"117","snow warning","The weather changes to hail when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, drizzle, drought, or sand stream are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.","Summons hail that lasts indefinitely upon entering battle."
"118","honey gather","This Pokémon has a chance of picking up honey after each battle.  This chance starts at 5% and rises another 5% after every tenth level: 5% from level 1–10, 10% from 11–20, and so on, up to 50% from 91–100.

This ability is checked after the battle ends, at which point any temporary ability changes have worn off.","The Pokémon may pick up honey after battle."
"119","frisk","When this Pokémon enters battle, it reveals an opposing Pokémon's held item to all participating trainers.

In a double battle, if one opponent has an item, this Pokémon will Frisk that Pokémon; if both have an item, it will Frisk one at random.","Reveals an opponent's held item upon entering battle."
"120","reckless","This Pokémon's recoil moves and crash moves have 1.2× their base power.

struggle is unaffected.

The ""crash moves"" are the moves that damage the user upon missing: jump kick and high jump kick.","Strengthens recoil moves to 1.2× their power."
"121","multitype","If this Pokémon is holding an elemental Plate, its type and form change to match the Plate.

This Pokémon's held item, whether or not it is a Plate, cannot be taken by covet or thief, nor removed by knock off, nor traded by switcheroo or trick.  Covet, Thief, and Knock Off still inflict damage against this Pokémon.  Unlike with sticky hold, this Pokémon cannot use fling, Switcheroo, or Trick to lose its item itself, nor gain an item through Switcheroo or Trick if it does not have one.

This ability has no effect for any Pokémon other than arceus.  This ability cannot be traded with skill swap, nor copied with role play or trace, nor disabled with gastro acid, nor changed with worry seed.  This Pokémon cannot use Skill Swap or Role Play to lose its ability itself.  mold breaker cannot ignore this ability.

If a Pokémon Transforms into an Arceus with this ability, it will Transform into Arceus's default, normal-type form.  If the Transforming Pokémon is holding a Plate, this ability will then activate and change the Pokémon into the corresponding form.","Changes arceus's type and form to match its held Plate."
"122","flower gift","Friendly Pokémon have 1.5× their Attack and Special Defense during strong sunlight if any friendly Pokémon has this ability.

Unlike forecast, multitype, and zen mode, this ability is not tied to its Pokémon's form change; cherrim will switch between its forms even if it loses this ability.  As such, this ability also works if obtained by a Pokémon other than Cherrim.","Increases friendly Pokémon's Attack and Special Defense to 1.5× during strong sunlight."
"123","bad dreams","Opposing Pokémon take 1/8 of their maximum HP in damage after each turn while they are asleep.","Damages sleeping opponents for 1/8 their max HP after each turn."
"124","pickpocket","Whenever a move makes contact with this Pokémon, if it does not have a held item, it steals the attacker's held item.

This Pokémon cannot steal upon being knocked out.  It can steal if the attacker has a substitute, but cannot steal when its own Substitute is hit.  If a move hits multiple times, only the last hit triggers this ability.  If this Pokémon is wild, it cannot steal from a trained Pokémon.","Steals attacking Pokémon's held items on contact."
"125","sheer force","This Pokémon's moves with extra effects have 1.3× their power, but lose their extra effects.

An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.

Moves that lower the user's stats are unaffected.","Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
"126","contrary","Whenever this Pokémon's stats would be raised, they are instead lowered by the same amount, and vice versa.","Inverts stat changes."
"127","unnerve","Opposing Pokémon cannot eat held Berries while this Pokémon is in battle.

Affected Pokémon can still use bug bite or pluck to eat a target's Berry.","Prevents opposing Pokémon from eating held Berries."
"128","defiant","When any of this Pokémon's stats are lowered, its Attack rises by two stages.

If multiple stats are lowered at once, this ability takes effect with each stat lowered.","Raises Attack two stages upon having any stat lowered."
"129","defeatist","This Pokémon's Attack and Special Attack are halved when it has half its HP or less.","Halves Attack and Special Attack at 50% max HP or less."
"130","cursed body","Moves that hit this Pokémon have a 30% chance of being Disabled afterward.","Has a 30% chance of Disabling any move that hits the Pokémon."
"131","healer","Friendly Pokémon next to this Pokémon in double and triple battles each have a 30% chance of being cured of any major status ailment after each turn.","Has a 30% chance of curing each adjacent ally of any major status ailment after each turn."
"132","friend guard","All friendly Pokémon take 0.75× as much direct damage from moves while this Pokémon is in battle.

This effect stacks if multiple allied Pokémon have it.","Decreases all direct damage taken by friendly Pokémon to 0.75×."
"133","weak armor","Whenever a physical move hits this Pokémon, its Speed rises one stage and its Defense falls one stage.

This ability triggers on every hit of a multiple-hit move.","Raises Speed and lowers Defense by one stage each upon being hit by a physical move."
"134","heavy metal","This Pokémon has double the usual weight for its species.","Doubles the Pokémon's weight."
"135","light metal","This Pokémon has half the usual weight for its species.","Halves the Pokémon's weight."
"136","multiscale","This Pokémon takes half as much damage when it is hit having full HP.","Halves damage taken from full HP."
"137","toxic boost","This Pokémon has 1.5× its Attack when poisoned.","Increases Attack to 1.5× when poisoned."
"138","flare boost","This Pokémon has 1.5× its Special Attack when burned.","Increases Special Attack to 1.5× when burned."
"139","harvest","After each turn, if the last item this Pokémon consumed was a Berry and it is not currently holding an item, it has a 50% chance of regaining that Berry, or a 100% chance during strong sunlight.","Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime."
"140","telepathy","This Pokémon does not take damage from friendly Pokémon's moves, including single-target moves aimed at it.","Protects against friendly Pokémon's damaging moves."
"141","moody","After each turn, one of this Pokémon's stats at random rises two stages, and another falls one stage.

If a stat is already at 6 or -6 stages, it will not be chosen to be increased or decreased, respectively.","Raises a random stat two stages and lowers another one stage after each turn."
"142","overcoat","This Pokémon does not take damage from weather.","Protects against damage from weather."
"143","poison touch","This Pokémon's contact moves have a 30% chance of poisoning the target with each hit.

This counts as an extra effect for the purposes of shield dust.  This ability takes effect before mummy.","Has a 30% chance of poisoning target Pokémon upon contact."
"144","regenerator","This Pokémon regains 1/3 of its maximum HP when it is switched out for another Pokémon under any circumstances other than having fainted.

This ability does not take effect when a battle ends.","Heals for 1/3 max HP upon switching out."
"145","big pecks","This Pokémon's Defense cannot be lowered by other Pokémon.

This Pokémon can still be passed negative Defense modifiers through heart swap or guard swap.","Protects against Defense drops."
"146","sand rush","This Pokémon's Speed is doubled during a sandstorm, and it does not take sandstorm damage, regardless of type.","Doubles Speed during a sandstorm.  Protects against sandstorm damage."
"147","wonder skin","Non-damaging moves have exactly 50% base accuracy against this Pokémon.","Lowers incoming non-damaging moves' base accuracy to exactly 50%."
"148","analytic","This Pokémon's moves have 1.3× their power when it moves last in a turn.

future sight and doom desire are unaffected.","Strengthens moves to 1.3× their power when moving last."
"149","illusion","This Pokémon, upon being sent out, appears to have the species, nickname, and Poké Ball of the last Pokémon in the party that is able to battle.  This illusion breaks upon being hit by a damaging move.

Other damage, e.g. from weather or spikes, does not break the illusion, nor does damage done to a substitute.

If the party order becomes temporarily shuffled around as Pokémon are switched out in battle, this ability chooses the last Pokémon according to that shuffled order.","Takes the appearance of the last conscious party Pokémon upon being sent out until hit by a damaging move."
"150","imposter","This Pokémon transforms into a random opponent upon entering battle.  This effect is identical to the move transform.","Transforms upon entering battle."
"151","infiltrator","This Pokémon's moves ignore light screen, reflect, and safeguard.","Bypasses light screen, reflect, and safeguard."
"152","mummy","Whenever a contact move hits this Pokémon, the attacking Pokémon's ability changes to Mummy.

multitype is unaffected.  If a Pokémon with moxie knocks this Pokémon out, the former's ability will change without taking effect.","Changes attacking Pokémon's abilities to Mummy on contact."
"153","moxie","This Pokémon's Attack rises one stage upon knocking out another Pokémon, even a friendly Pokémon.

This ability does not take effect when the Pokémon indirectly causes another Pokémon to faint, e.g. through poison or spikes.

If this Pokémon knocks out a Pokémon with mummy, the former's ability will change without taking effect.","Raises Attack one stage upon KOing a Pokémon."
"154","justified","Whenever a dark-type move hits this Pokémon, its Attack rises one stage.

The move is not negated in any way.","Raises Attack one stage upon taking damage from a dark move."
"155","rattled","This Pokémon's Speed rises one stage with each hit from a damaging dark-, ghost-, or bug-type move.","Raises Speed one stage upon being hit by a dark, ghost, or bug move."
"156","magic bounce","When this Pokémon is targeted by a move flagged as being reflectable, the move is redirected to its user.

All reflectable moves are non-damaging, and most non-damaging moves that target other Pokémon are reflectable.

A move reflected by this ability or magic coat cannot be reflected back.","Reflects most non-damaging moves back at their user."
"157","sap sipper","Whenever a grass-type move hits this Pokémon, its Attack rises one stage, negating any other effect on it.","Absorbs grass moves, raising Attack one stage."
"158","prankster","This Pokémon's non-damaging moves have their priority increased by one stage.","Raises non-damaging moves' priority by one stage."
"159","sand force","During a sandstorm, this Pokémon's rock-, ground-, and steel-type moves have 1.3× their base power.  This Pokémon does not take sandstorm damage, regardless of type.","Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage."
"160","iron barbs","Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum HP in damage.

This ability functions identically to rough skin.","Damages attacking Pokémon for 1/8 their max HP on contact."
"161","zen mode","This Pokémon switches between Standard Mode and Zen Mode after each turn depending on its HP.  Below 50% of its maximum HP, it switches to Zen Mode, and at 50% or above, it switches to Standard Mode.

This Pokémon returns to Standard Mode upon leaving battle or losing this ability.  This ability has no effect if this Pokémon is not a darmanitan.","Changes darmanitan's form after each turn depending on its HP: Zen Mode below 50% max HP, and Standard Mode otherwise."
"162","victory star","All friendly Pokémon's moves, including this Pokémon's own moves, have 1.1× their usual accuracy while this Pokémon is in battle.","Increases moves' accuracy to 1.1× for friendly Pokémon."
"163","turboblaze","This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to mold breaker and teravolt.","Bypasses targets' abilities if they could hinder or prevent moves."
"164","teravolt","This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to mold breaker and turboblaze.","Bypasses targets' abilities if they could hinder or prevent moves."
"165","aroma veil","Protects allies against moves that affect their mental state.","Protects allies against moves that affect their mental state."
"166","flower veil","Protects friendly grass Pokémon from having their stats lowered by other Pokémon.","Protects friendly grass Pokémon from having their stats lowered by other Pokémon."
"167","cheek pouch","Restores HP upon eating a Berry, in addition to the Berry's effect.","Restores HP upon eating a Berry, in addition to the Berry's effect."
"168","protean","Changes the bearer's type to match each move it uses.

The type change takes place just before the move is used.","Changes the bearer's type to match each move it uses."
"169","fur coat","Halves damage from physical attacks.","Halves damage from physical attacks."
"170","magician","Steals the target's held item when the bearer uses a damaging move.","Steals the target's held item when the bearer uses a damaging move."
"171","bulletproof","Protects against bullet, ball, and bomb-based moves.","Protects against bullet, ball, and bomb-based moves."
"172","competitive","Raises Special Attack by two stages upon having any stat lowered.","Raises Special Attack by two stages upon having any stat lowered."
"173","strong jaw","Strengthens biting moves to 1.5× their power.","Strengthens biting moves to 1.5× their power."
"174","refrigerate","Turns the bearer's normal-type moves into ice-type moves.  Moves changed by this ability have 1.3× their power.","Turns the bearer's normal moves into ice moves and strengthens them to 1.3× their power."
"175","sweet veil","Prevents friendly Pokémon from sleeping.","Prevents friendly Pokémon from sleeping."
"176","stance change","Changes aegislash to Blade Forme before using a damaging move, or Shield Forme before using kings shield.","Changes aegislash to Blade Forme before using a damaging move, or Shield Forme before using kings shield."
"177","gale wings","Raises flying moves' priority by one stage.","Raises flying moves' priority by one stage."
"178","mega launcher","Strengthens aura and pulse moves to 1.5× their power.","Strengthens aura and pulse moves to 1.5× their power."
"179","grass pelt","Boosts Defense while grassy terrain is in effect.","Boosts Defense while grassy terrain is in effect."
"180","symbiosis","Passes the bearer's held item to an ally when the ally uses up its item.","Passes the bearer's held item to an ally when the ally uses up its item."
"181","tough claws","Strengthens moves that make contact to 1.33× their power.","Strengthens moves that make contact to 1.33× their power."
"182","pixilate","Turns the bearer's normal-type moves into fairy moves.  Moves changed by this ability have 1.3× their power.","Turns the bearer's normal moves into fairy moves and strengthens them to 1.3× their power."
"183","gooey","Lowers attacking Pokémon's Speed by one stage on contact.","Lowers attacking Pokémon's Speed by one stage on contact."
"184","aerilate","Turns the bearer's normal-type moves into flying-type moves.  Moves changed by this ability have 1.3× their power.","Turns the bearer's normal moves into flying moves and strengthens them to 1.3× their power."
"185","parental bond","Lets the bearer hit twice with damaging moves.  The second hit has half power.","Lets the bearer hit twice with damaging moves.  The second hit has half power."
"186","dark aura","Strengthens dark moves for all friendly and opposing Pokémon.","Strengthens dark moves to 1.33× their power for all friendly and opposing Pokémon."
"187","fairy aura","Strengthens fairy moves for all friendly and opposing Pokémon.","Strengthens fairy moves to 1.33× their power for all friendly and opposing Pokémon."
"188","aura break","While this Pokémon is on the field, dark aura and fairy aura weaken moves of their respective types to 2/3 their power, rather than strengthening them.","Makes dark aura and fairy aura weaken moves of their respective types."
"189","primordial sea","When this Pokémon enters battle or gains this ability, the weather becomes heavy rain.  Heavy rain has all the properties of rain dance and also causes damaging Fire moves to fail.

Heavy rain ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of delta stream and desolate land.

air lock and cloud nine will prevent the effects of heavy rain, including allowing Fire moves to work, but will not allow the weather to be changed.","Creates heavy rain, which has all the properties of Rain Dance, cannot be replaced, and causes damaging Fire moves to fail."
"190","desolate land","When this Pokémon enters battle or gains this ability, the weather becomes extremely harsh sunlight.  Extremely harsh sunlight has all the properties of sunny day and also causes damaging Water moves to fail.

Extremely harsh sunlight ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of delta stream and primordial sea.

air lock and cloud nine will prevent the effects of extremely harsh sunlight, including allowing Water moves to work, but will not allow the weather to be changed.","Creates extremely harsh sunlight, which has all the properties of Sunny Day, cannot be replaced, and causes damaging Water moves to fail."
"191","delta stream","When this Pokémon enters battle or gains this ability, the weather becomes a mysterious air current.  A mysterious air current causes moves to not be super effective against Flying; they do neutral damage instead.  anticipation and stealth rock are not affected.

The mysterious air current ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of desolate land and primordial sea.

air lock and cloud nine will prevent the effect of a mysterious air current, but will not allow the weather to be changed.","Creates a mysterious air current, which cannot be replaced and causes moves to never be super effective against Flying Pokémon."
"192","stamina","Raises this Pokémon's Defense by one stage when it takes damage from a move.","Raises this Pokémon's Defense by one stage when it takes damage from a move."
"193","wimp out","After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out.","This Pokémon automatically switches out when its HP drops below half."
"194","emergency exit","After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out.","This Pokémon automatically switches out when its HP drops below half."
"195","water compaction","Raises this Pokémon's Defense by two stages when it's hit by a Water move.","Raises this Pokémon's Defense by two stages when it's hit by a Water move."
"196","merciless","This Pokémon's moves critical hit against poisoned targets.","This Pokémon's moves critical hit against poisoned targets."
"197","shields down","When this Pokémon enters battle and at the end of each turn, if its HP is 50% or above, it changes into Meteor Form; otherwise, it changes into Core Form.  In Meteor Form, it cannot be given a major status ailment (though existing ones are not cured), cannot become drowsy from yawn, and cannot use rest (which will simply fail).

This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Minior.","Transforms this Minior between Core Form and Meteor Form.  Prevents major status ailments and drowsiness while in Meteor Form."
"198","stakeout","This Pokémon's moves have double power against Pokémon that switched in this turn.","This Pokémon's moves have double power against Pokémon that switched in this turn."
"199","water bubble","When this Pokémon is hit by a Fire move, the damage is halved.  When this Pokémon uses a Water move, the power is doubled. This Pokémon cannot be burned, and if it becomes burned, the burn is immediately cured.","Halves damage from Fire moves, doubles damage of Water moves, and prevents burns."
"200","steelworker","This Pokémon's Steel moves have 1.5× power.","This Pokémon's Steel moves have 1.5× power."
"201","berserk","Whenever this Pokémon takes damage from a move that causes its HP to drop below 50%, its Special Attack rises by one stage.","Raises this Pokémon's Special Attack by one stage every time its HP drops below half."
"202","slush rush","During Hail, this Pokémon has double Speed.","During Hail, this Pokémon has double Speed."
"203","long reach","A move used by this Pokémon will not make contact.","This Pokémon's moves do not make contact."
"204","liquid voice","When this Pokémon uses a move that is sound-based, that move's type is Water.","Sound-based moves become Water-type."
"205","triage","This Pokémon's healing moves have their priority increased by 3.","This Pokémon's healing moves have their priority increased by 3."
"206","galvanize","When this Pokémon uses a Normal moves, that move is Electric its power is 1.2×.","This Pokémon's Normal moves are Electric and have their power increased to 1.2×."
"207","surge surfer","Doubles this Pokémon's Speed on Electric Terrain.","Doubles this Pokémon's Speed on Electric Terrain."
"208","schooling","If this Pokémon is a wishiwashi and level 20 or above, then when it enters battle and at the start of each turn, it becomes Schooling Form if its HP is 25% or higher and Solo Form otherwise.

This ability cannot be replaced, copied, or nullified.","Wishiwashi becomes Schooling Form when its HP is 25% or higher."
"209","disguise","If this Pokémon is in its Disguised Form and takes damage from a move, it switches to its Busted Form and the damage is prevented.  Other effects are not prevented.

This ability cannot be copied or replaced.  This ability only takes effect for Mimikyu.","Prevents the first instance of battle damage."
"210","battle bond","Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.

This ability cannot be copied or replaced.  This ability only takes effect for Greninja.","Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times."
"211","power construct","Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.

This ability cannot be copied or replaced.  This ability only takes effect for Zygarde.","Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%."
"212","corrosion","This Pokémon's moves and item ignore the usual immunity of Poison and Steel Pokémon when attempting to inflict poison.","This Pokémon can inflict poison on Poison and Steel Pokémon."
"213","comatose","This Pokémon always acts as though it were Asleep.  It cannot be given another status ailment; it's unaffected by yawn; it can use sleep talk; and so on.","This Pokémon always  acts as though it were Asleep."
"214","queenly majesty","When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail.","Opposing Pokémon cannot use priority attacks."
"215","innards out","When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining.","When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining."
"216","dancer","Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards.","Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards."
"217","battery","Ally Pokémon's moves have their power increased to 1.3×.","Ally Pokémon's moves have their power increased to 1.3×."
"218","fluffy","Damage from contact moves is halved.  Damage from Fire moves is doubled.","Damage from contact moves is halved.  Damage from Fire moves is doubled."
"219","dazzling","When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail.","Opposing Pokémon cannot use priority attacks."
"220","soul heart","This Pokémon's Special Attack rises by one stage every time any Pokémon faints.","This Pokémon's Special Attack rises by one stage every time any Pokémon faints."
"221","tangling hair","When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage.","When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage."
"222","receiver","When an ally faints, this Pokémon gains its Ability.","When an ally faints, this Pokémon gains its Ability."
"223","power of alchemy","When an ally faints, this Pokémon gains its Ability.","When an ally faints, this Pokémon gains its Ability."
"224","beast boost","Raises this Pokémon's highest stat by one stage when it faints another Pokémon.","Raises this Pokémon's highest stat by one stage when it faints another Pokémon."
"225","rks system","Changes this Pokémon's type to match its held Memory.

This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Silvally.","Changes this Pokémon's type to match its held Memory."
"226","electric surge","When this Pokémon enters battle, it changes the terrain to electric terrain.","When this Pokémon enters battle, it changes the terrain to Electric Terrain."
"227","psychic surge","When this Pokémon enters battle, it changes the terrain to psychic terrain.","When this Pokémon enters battle, it changes the terrain to Psychic Terrain."
"228","misty surge","When this Pokémon enters battle, it changes the terrain to misty terrain.","When this Pokémon enters battle, it changes the terrain to Misty Terrain."
"229","grassy surge","When this Pokémon enters battle, it changes the terrain to grassy terrain.","When this Pokémon enters battle, it changes the terrain to Grassy Terrain."
"230","full metal body","This Pokémon's stats cannot be lowered by other Pokémon's moves or abilities.  This effect only applies to normal stat modifications and not more exotic effects such as topsy turvy or power swap.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze.","Other Pokémon cannot lower this Pokémon's stats."
"231","shadow shield","When this Pokémon has full HP, regular damage (not fixed damage!) from moves is halved.

This ability cannot be nullified.","When this Pokémon has full HP, regular damage from moves is halved."
"232","prism armor","Super-effective damage this Pokémon takes is reduced to 0.75×.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze.","Reduces super-effective damage to 0.75×."
"233","neuroforce","Increases super-effective damage dealt to 1.25×.","Increases super-effective damage dealt to 1.25×."
"234","intrepid sword","",""
"235","dauntless shield","",""
"236","libero","",""
"237","ball fetch","",""
"238","cotton down","",""
"239","propeller tail","",""
"240","mirror armor","",""
"241","gulp missile","",""
"242","stalwart","",""
"243","steam engine","",""
"244","punk rock","",""
"245","sand spit","",""
"246","ice scales","",""
"247","ripen","",""
"248","ice face","",""
"249","power spot","",""
"250","mimicry","",""
"251","screen cleaner","",""
"252","steely spirit","",""
"253","perish body","",""
"254","wandering spirit","",""
"255","gorilla tactics","",""
"256","neutralizing gas","",""
"257","pastel veil","",""
"258","hunger switch","",""
"259","quick draw","",""
"260","unseen fist","",""
"261","curious medicine","",""
"262","transistor","",""
"263","dragons maw","",""
"264","chilling neigh","",""
"265","grim neigh","",""
"266","as one glastrier","",""
"267","as one spectrier","",""
"268","lingering aroma","",""
"269","seed sower","",""
"270","thermal exchange","",""
"271","anger shell","",""
"272","purifying salt","",""
"273","well baked body","",""
"274","wind rider","",""
"275","guard dog","",""
"276","rocky payload","",""
"277","wind power","",""
"278","zero to hero","",""
"279","commander","",""
"280","electromorphosis","",""
"281","protosynthesis","",""
"282","quark drive","",""
"283","good as gold","",""
"284","vessel of ruin","",""
"285","sword of ruin","",""
"286","tablets of ruin","",""
"287","beads of ruin","",""
"288","orichalcum pulse","",""
"289","hadron engine","",""
"290","opportunist","",""
"291","cud chew","",""
"292","sharpness","",""
"293","supreme overlord","",""
"294","costar","",""
"295","toxic debris","",""
"296","armor tail","",""
"297","earth eater","",""
"298","mycelium might","",""
"10032","nomad","",""
"10033","sequence","",""
"10034","grass cloak","",""
"10035","celebrate","",""
"10036","lullaby","",""
"10037","calming","",""
"10038","daze","",""
"10039","frighten","",""
"10040","interference","",""
"10041","mood maker","",""
"10042","confidence","",""
"10043","fortune","",""
"10044","bonanza","",""
"10045","explode","",""
"10046","omnipotent","",""
"10047","share","",""
"10048","black hole","",""
"10049","shadow dash","",""
"10050","sprint","",""
"10051","disgust","",""
"10052","high rise","",""
"10053","climber","",""
"10054","flame boost","",""
"10055","aqua boost","",""
"10056","run up","",""
"10057","conqueror","",""
"10058","shackle","",""
"10059","decoy","",""
"10060","shield","",""
