"pokemon","subareaID","method","condition_type","condition_value","chance%","min_level","max_level"
"geodude","52","rock","","","1","45","55"
"geodude","53","rock","","","60","40","50"
"geodude","53","rock","","","4","50","60"
"geodude","53","rock","","","1","50","60"
"geodude","10","walk","","","15","7","7"
"geodude","10","walk","","","10","8","8"
"geodude","10","walk","","","1","9","9"
"geodude","11","walk","","","20","9","9"
"geodude","11","walk","","","10","10","10"
"geodude","15","walk","","","15","17","17"
"geodude","15","walk","","","10","16","16"
"geodude","15","walk","","","1","18","18"
"geodude","63","walk","","","20","26","26"
"geodude","64","walk","","","20","24","24"
"geodude","65","walk","","","20","26","26"
"geodude","264","walk","","","4","7","7"
"geodude","264","walk","","","4","8","8"
"geodude","264","walk","","","1","6","6"
"geodude","264","walk","","","1","9","9"
"geodude","266","rock","","","60","10","15"
"geodude","266","rock","","","5","5","10"
"geodude","266","rock","","","4","15","20"
"geodude","266","rock","","","1","15","20"
"geodude","287","rock","","","30","30","40"
"geodude","308","rock","","","60","10","15"
"geodude","308","rock","","","30","5","10"
"geodude","308","rock","","","5","15","20"
"geodude","308","rock","","","4","15","20"
"geodude","308","rock","","","1","15","20"
"geodude","311","rock","","","60","10","15"
"geodude","311","rock","","","30","5","10"
"geodude","311","rock","","","5","15","20"
"geodude","311","rock","","","4","15","20"
"geodude","311","rock","","","1","15","20"
"geodude","336","rock","","","60","10","15"
"geodude","336","rock","","","30","5","10"
"geodude","336","rock","","","5","15","20"
"geodude","336","rock","","","4","20","25"
"geodude","336","rock","","","1","25","30"
"geodude","343","walk","","","20","27","27"
"geodude","343","walk","","","10","28","28"
"geodude","343","walk","","","10","29","29"
"geodude","343","walk","","","10","30","30"
"geodude","343","walk","","","5","30","30"
"geodude","92","walk","","","10","33","33"
"geodude","92","rock","","","60","5","20"
"geodude","92","rock","","","30","10","20"
"geodude","92","rock","","","5","15","30"
"geodude","93","walk","","","20","33","33"
"geodude","93","walk","","","10","29","29"
"geodude","93","walk","","","10","31","31"
"geodude","93","walk","","","5","35","35"
"geodude","93","walk","","","4","37","37"
"geodude","93","walk","","","1","37","37"
"geodude","94","walk","","","20","34","34"
"geodude","94","walk","","","10","30","30"
"geodude","94","walk","","","10","32","32"
"geodude","94","rock","","","60","5","20"
"geodude","94","rock","","","30","10","20"
"geodude","94","rock","","","5","15","30"
"geodude","95","walk","","","20","36","36"
"geodude","95","walk","","","10","32","32"
"geodude","95","walk","","","10","34","34"
"geodude","95","walk","","","5","38","38"
"geodude","95","walk","","","4","40","40"
"geodude","95","walk","","","1","40","40"
"geodude","95","rock","","","60","25","35"
"geodude","95","rock","","","4","30","40"
"geodude","95","rock","","","1","30","40"
"geodude","96","walk","","","20","38","38"
"geodude","96","walk","","","20","36","36"
"geodude","96","walk","","","10","34","34"
"geodude","96","walk","","","10","40","40"
"geodude","96","walk","","","5","42","42"
"geodude","96","walk","","","4","42","42"
"geodude","96","walk","","","1","42","42"
"geodude","96","rock","","","60","25","35"
"geodude","96","rock","","","4","30","40"
"geodude","96","rock","","","1","30","40"
"geodude","97","walk","","","20","40","40"
"geodude","97","walk","","","10","42","42"
"geodude","97","walk","","","5","44","44"
"geodude","97","walk","","","4","44","44"
"geodude","97","walk","","","1","44","44"
"geodude","97","rock","","","60","25","35"
"geodude","97","rock","","","4","30","40"
"geodude","97","rock","","","1","30","40"
"geodude","117","walk","","","10","31","31"
"geodude","117","rock","","","60","5","20"
"geodude","117","rock","","","30","10","20"
"geodude","117","rock","","","5","15","30"
"geodude","132","walk","","","20","46","46"
"geodude","132","rock","","","60","25","35"
"geodude","132","rock","","","4","30","40"
"geodude","132","rock","","","1","30","40"
"graveler","383","walk","","","20","36","36"
"graveler","384","walk","","","20","36","36"
"graveler","387","walk","","","20","38","38"
"graveler","388","walk","","","20","38","38"
"graveler","389","walk","","","20","40","40"
"graveler","390","walk","","","20","40","40"
"graveler","391","walk","","","20","40","40"
"graveler","391","walk","","","20","39","39"
"graveler","392","walk","","","20","31","31"
"graveler","394","walk","","","20","31","31"
"graveler","419","walk","","","20","45","45"
"graveler","420","walk","","","20","46","46"
"graveler","421","walk","time","morning ","10","41","41"
"graveler","421","walk","time","day ","10","41","41"
"graveler","421","walk","","","5","43","43"
"graveler","422","walk","time","morning ","10","47","47"
"graveler","422","walk","time","day ","10","47","47"
"graveler","422","walk","","","5","49","49"
"graveler","423","walk","","","20","51","51"
"graveler","424","walk","","","20","51","51"
"graveler","428","walk","time","morning ","10","54","54"
"graveler","428","walk","time","day ","10","54","54"
"graveler","428","walk","","","5","56","56"
"graveler","429","walk","","","20","55","55"
"graveler","430","walk","","","20","57","57"
"graveler","521","walk","","","20","38","38"
"graveler","521","walk","time","morning ","10","39","39"
"graveler","521","walk","time","day ","10","39","39"
"graveler","521","walk","","","5","37","37"
"graveler","439","walk","","","10","52","52"
"graveler","440","walk","","","10","54","54"
"graveler","441","walk","","","10","54","54"
"graveler","442","walk","","","10","54","54"
"graveler","443","walk","","","10","56","56"
"graveler","444","walk","","","10","56","56"
"graveler","451","walk","","","20","31","31"
"graveler","451","walk","","","10","32","32"
"graveler","451","walk","","","4","33","33"
"graveler","451","walk","","","1","33","33"
"graveler","452","walk","","","20","30","30"
"graveler","452","walk","","","20","31","31"
"graveler","452","walk","","","10","29","29"
"graveler","452","walk","","","10","32","32"
"graveler","452","walk","item","repel","4","31","31"
"graveler","452","walk","item","dubious disc","4","31","31"
"graveler","452","walk","item","tm55","4","31","31"
"graveler","452","walk","item","tm12","4","31","31"
"graveler","452","walk","item","old charm","4","33","33"
"graveler","452","walk","item","park ball","4","33","33"
"graveler","452","walk","item","seal case","4","33","33"
"graveler","452","walk","item","tm51","4","33","33"
"graveler","452","walk","","","1","33","33"
"graveler","453","walk","","","20","30","30"
"graveler","453","walk","","","20","31","31"
"graveler","453","walk","","","10","29","29"
"graveler","453","walk","","","10","32","32"
"graveler","453","walk","item","dusk stone","4","31","31"
"graveler","453","walk","item","lift key","4","31","31"
"graveler","453","walk","item","kelpsy berry","4","31","31"
"graveler","453","walk","item","blue flute","4","31","31"
"graveler","453","walk","item","tm12","4","33","33"
"graveler","453","walk","item","kings rock","4","33","33"
"graveler","453","walk","item","tm70","4","33","33"
"graveler","453","walk","item","pass","4","33","33"
"graveler","453","walk","","","1","33","33"
"graveler","454","walk","","","20","30","30"
"graveler","454","walk","","","10","29","29"
"graveler","454","walk","","","10","32","32"
"graveler","454","walk","item","qualot berry","4","31","31"
"graveler","454","walk","item","figy berry","4","31","31"
"graveler","454","walk","item","tm50","4","31","31"
"graveler","454","walk","item","haban berry","4","31","31"
"graveler","454","walk","item","gracidea","4","33","33"
"graveler","454","walk","item","pink apricorn","4","33","33"
"graveler","454","walk","item","quick claw","4","33","33"
"graveler","454","walk","item","muscle band","4","33","33"
"graveler","454","walk","","","1","33","33"
"graveler","455","walk","","","20","31","31"
"graveler","455","walk","","","10","30","30"
"graveler","455","walk","item","rainbow pass","4","32","32"
"graveler","455","walk","item","iron","4","32","32"
"graveler","455","walk","item","tm26","4","32","32"
"graveler","455","walk","item","macho brace","4","32","32"
"graveler","455","walk","item","data card 20","4","34","34"
"graveler","455","walk","item","dive ball","4","34","34"
"graveler","455","walk","item","dome fossil","4","34","34"
"graveler","455","walk","item","tm26","4","34","34"
"graveler","455","walk","","","1","34","34"
"graveler","456","walk","","","20","31","31"
"graveler","456","walk","","","10","30","30"
"graveler","456","walk","item","red flute","4","32","32"
"graveler","456","walk","item","quick claw","4","32","32"
"graveler","456","walk","item","fluffy tail","4","32","32"
"graveler","456","walk","item","blue orb","4","32","32"
"graveler","456","walk","item","nomel berry","4","34","34"
"graveler","456","walk","item","tm46","4","34","34"
"graveler","456","walk","item","tiny mushroom","4","34","34"
"graveler","456","walk","item","starf berry","4","34","34"
"graveler","456","walk","","","1","34","34"
"graveler","472","walk","time","morning ","10","21","21"
"graveler","472","walk","time","day ","10","21","21"
"graveler","472","walk","","","4","22","22"
"graveler","472","walk","radar","off ","1","22","22"
"graveler","493","walk","","","20","27","27"
"graveler","497","walk","time","morning ","10","23","23"
"graveler","497","walk","time","day ","10","23","23"
"graveler","497","walk","item","rm 2 key","4","24","24"
"graveler","497","walk","item","coupon 1","4","24","24"
"graveler","497","walk","item","heat rock","4","24","24"
"graveler","497","walk","item","tm52","4","24","24"
"graveler","497","walk","radar","off ","1","24","24"
"graveler","499","walk","item","suite key","4","33","33"
"graveler","499","walk","item","lum berry","4","33","33"
"graveler","499","walk","item","tm65","4","33","33"
"graveler","499","walk","item","yache berry","4","33","33"
"graveler","499","walk","item","scanner","4","33","33"
"graveler","499","walk","item","protector","4","34","34"
"graveler","499","walk","item","red orb","4","34","34"
"graveler","499","walk","item","sun stone","4","34","34"
"graveler","499","walk","item","air mail","4","34","34"
"graveler","499","walk","item","pinap berry","4","34","34"
"graveler","499","walk","radar","off ","1","33","33"
"graveler","499","walk","radar","off ","1","34","34"
"graveler","506","walk","weather","cloudy","20","49","49"
"graveler","507","walk","time","morning ","10","54","54"
"graveler","507","walk","time","day ","10","54","54"
"graveler","507","walk","","","5","56","56"
"graveler","515","walk","weather","sunny","20","49","49"
"graveler","169","walk","","","30","31","31"
"graveler","198","walk","","","30","23","23"
"graveler","198","walk","","","5","25","25"
"graveler","198","walk","","","4","27","27"
"graveler","198","walk","","","1","27","27"
"graveler","158","walk","","","20","25","25"
"graveler","202","walk","time","morning ","4","20","20"
"graveler","202","walk","time","day ","4","20","20"
"graveler","175","walk","","","20","43","43"
"graveler","175","walk","","","10","43","43"
"graveler","178","walk","time","day ","20","48","48"
"graveler","178","walk","time","morning ","20","48","48"
"graveler","178","walk","time","night ","20","48","48"
"graveler","14","rock","","","4","25","40"
"graveler","14","rock","","","1","30","40"
"graveler","56","walk","","","30","32","32"
"graveler","57","walk","","","30","32","32"
"graveler","58","walk","","","30","32","32"
"graveler","51","walk","","","15","45","45"
"graveler","52","walk","","","15","50","50"
"graveler","53","walk","","","15","55","55"
"graveler","63","walk","","","5","41","41"
"graveler","64","walk","","","1","43","43"
"graveler","65","walk","","","5","43","43"
"graveler","287","rock","","","60","30","40"
"graveler","287","rock","","","5","35","40"
"graveler","287","rock","","","4","35","40"
"graveler","287","rock","","","1","35","40"
"graveler","343","walk","","","5","30","30"
"graveler","343","walk","","","4","30","30"
"graveler","343","walk","","","4","31","31"
"graveler","343","walk","","","1","32","32"
"graveler","343","walk","","","1","33","33"
"graveler","92","rock","","","4","25","40"
"graveler","92","rock","","","1","30","40"
"graveler","94","rock","","","4","25","40"
"graveler","94","rock","","","1","30","40"
"graveler","95","rock","","","30","30","45"
"graveler","95","rock","","","5","35","50"
"graveler","96","rock","","","30","30","45"
"graveler","96","rock","","","5","35","50"
"graveler","97","rock","","","30","30","45"
"graveler","97","rock","","","5","35","50"
"graveler","117","rock","","","4","25","40"
"graveler","117","rock","","","1","30","40"
"graveler","132","rock","","","30","30","45"
"graveler","132","rock","","","5","35","50"
"ponyta","481","walk","weather","rain","20","14","14"
"ponyta","481","walk","time","morning ","10","15","15"
"ponyta","481","walk","time","day ","10","15","15"
"ponyta","481","walk","time","day ","10","14","14"
"ponyta","481","walk","item","tm14","4","15","15"
"ponyta","481","walk","item","rindo berry","4","15","15"
"ponyta","481","walk","item","rage candy bar","4","15","15"
"ponyta","481","walk","item","tm21","4","15","15"
"ponyta","481","walk","item","twisted spoon","4","15","15"
"ponyta","481","walk","radar","off ","1","16","16"
"ponyta","482","walk","time","morning ","10","6","6"
"ponyta","482","walk","time","day ","10","6","6"
"ponyta","482","walk","radar","off ","10","5","5"
"ponyta","482","walk","","","4","7","7"
"ponyta","482","walk","radar","off ","1","7","7"
"ponyta","490","walk","","","20","19","19"
"ponyta","490","walk","time","day ","10","18","18"
"ponyta","490","walk","time","day ","10","18","18"
"ponyta","490","walk","","","5","18","18"
"ponyta","490","walk","","","5","20","20"
"ponyta","492","walk","radar","off ","10","13","13"
"ponyta","493","walk","time","morning ","10","26","26"
"ponyta","493","walk","time","day ","10","26","26"
"ponyta","493","walk","item","pamtre berry","4","27","27"
"ponyta","493","walk","item","stable mulch","4","27","27"
"ponyta","493","walk","item","shuca berry","4","27","27"
"ponyta","493","walk","item","everstone","4","27","27"
"ponyta","493","walk","item","tm81","4","27","27"
"ponyta","493","walk","radar","off ","1","28","28"
"ponyta","497","walk","weather","cloudy","20","23","23"
"ponyta","497","walk","time","morning ","10","23","23"
"ponyta","497","walk","time","day ","10","23","23"
"ponyta","497","walk","","","5","24","24"
"ponyta","498","walk","weather","snow","20","21","21"
"ponyta","498","walk","time","morning ","10","22","22"
"ponyta","498","walk","time","day ","10","22","22"
"ponyta","498","walk","time","day ","10","21","21"
"ponyta","174","walk","time","morning ","30","42","42"
"ponyta","174","walk","time","day ","30","42","42"
"ponyta","174","walk","time","night ","30","42","42"
"ponyta","34","walk","time","day ","20","32","32"
"ponyta","34","walk","time","morning ","20","32","32"
"ponyta","34","walk","time","night ","20","32","32"
"ponyta","35","walk","time","day ","5","32","32"
"ponyta","35","walk","time","morning ","5","32","32"
"ponyta","35","walk","time","night ","5","32","32"
"ponyta","36","walk","time","day ","30","40","40"
"ponyta","36","walk","time","morning ","30","40","40"
"ponyta","36","walk","time","night ","30","40","40"
"ponyta","24","walk","","","10","28","28"
"ponyta","24","walk","","","10","30","30"
"ponyta","24","walk","","","4","32","32"
"ponyta","31","walk","time","morning ","5","6","6"
"ponyta","31","walk","time","day ","5","6","6"
"ponyta","31","walk","time","night ","5","6","6"
"ponyta","73","walk","","","15","34","34"
"ponyta","73","walk","","","10","30","30"
"ponyta","73","walk","","","10","32","32"
"ponyta","73","walk","","","5","28","28"
"ponyta","74","walk","","","10","30","30"
"ponyta","74","walk","","","10","32","32"
"ponyta","74","walk","","","5","28","28"
"ponyta","75","walk","","","10","32","32"
"ponyta","75","walk","","","10","34","34"
"ponyta","75","walk","","","4","36","36"
"ponyta","76","walk","","","10","32","32"
"ponyta","76","walk","","","5","34","34"
"ponyta","92","walk","","","20","30","30"
"ponyta","92","walk","","","10","33","33"
"ponyta","92","walk","","","5","36","36"
"ponyta","117","walk","","","20","34","34"
"ponyta","117","walk","","","10","31","31"
"rapidash","174","walk","time","morning ","10","44","44"
"rapidash","174","walk","time","day ","10","44","44"
"rapidash","174","walk","time","night ","10","44","44"
"rapidash","36","walk","time","day ","10","42","42"
"rapidash","36","walk","time","morning ","10","42","42"
"rapidash","36","walk","time","night ","5","42","42"
"rapidash","36","walk","time","night ","4","42","42"
"rapidash","36","walk","time","night ","1","42","42"
"rapidash","92","walk","","","4","39","39"
"rapidash","92","walk","","","1","42","42"
"rapidash","117","walk","","","4","37","37"
"rapidash","117","walk","","","1","40","40"
"slowpoke","480","walk","radar","on ","10","11","11"
"slowpoke","480","walk","radar","on ","10","11","11"
"slowpoke","480","walk","radar","on ","1","12","12"
"slowpoke","480","walk","radar","on ","1","12","12"
"slowpoke","209","walk","","","10","6","6"
"slowpoke","209","walk","","","4","8","8"
"slowpoke","209","walk","","","1","8","8"
"slowpoke","209","surf","","","60","15","19"
"slowpoke","209","surf","","","30","20","24"
"slowpoke","209","surf","","","10","10","14"
"slowpoke","210","walk","","","10","21","21"
"slowpoke","210","walk","","","4","23","23"
"slowpoke","210","walk","","","1","23","23"
"slowpoke","210","surf","","","60","15","19"
"slowpoke","210","surf","","","30","20","24"
"slowpoke","46","walk","","","20","30","30"
"slowpoke","47","walk","","","10","28","28"
"slowpoke","47","walk","","","5","30","30"
"slowpoke","48","walk","","","20","30","30"
"slowpoke","48","walk","","","10","32","32"
"slowpoke","49","walk","","","20","31","31"
"slowpoke","49","walk","","","15","33","33"
"slowpoke","50","walk","","","10","29","29"
"slowpoke","50","walk","","","5","31","31"
"slowpoke","19","surf","","","20","15","15"
"slowpoke","19","surf","","","20","15","15"
"slowpoke","19","surf","","","15","15","15"
"slowpoke","19","surf","","","10","15","15"
"slowpoke","19","surf","","","10","15","15"
"slowpoke","19","surf","","","10","15","15"
"slowpoke","19","surf","","","5","15","15"
"slowpoke","19","surf","","","5","15","15"
"slowpoke","26","super","","","1","25","35"
"slowpoke","29","super","","","1","25","35"
"slowpoke","3","super","","","1","25","35"
"slowpoke","59","super","","","4","15","25"
"slowpoke","59","super","","","1","25","35"
"slowpoke","59","surf","","","60","20","25"
"slowpoke","59","surf","","","30","20","25"
"slowpoke","59","surf","","","5","25","30"
"slowpoke","59","surf","","","4","30","35"
"slowpoke","59","surf","","","1","35","40"
"slowpoke","2","super","","","1","25","35"
"slowpoke","54","super","","","1","25","35"
"slowpoke","0","super","","","17","15","15"
"slowpoke","0","super","","","8","15","15"
"slowpoke","0","super","","","25","15","15"
"slowpoke","6","super","","","4","15","25"
"slowpoke","6","super","","","1","25","35"
"slowpoke","6","surf","","","60","20","25"
"slowpoke","6","surf","","","30","20","25"
"slowpoke","6","surf","","","5","25","30"
"slowpoke","6","surf","","","4","30","35"
"slowpoke","6","surf","","","1","35","40"
"slowpoke","12","super","","","1","25","35"
"slowpoke","39","super","","","1","25","35"
"slowpoke","42","super","","","4","15","25"
"slowpoke","42","super","","","1","25","35"
"slowpoke","42","surf","","","60","20","25"
"slowpoke","42","surf","","","30","20","25"
"slowpoke","42","surf","","","5","25","30"
"slowpoke","42","surf","","","4","30","35"
"slowpoke","42","surf","","","1","35","40"
"slowpoke","17","super","","","17","15","15"
"slowpoke","17","super","","","8","15","15"
"slowpoke","17","super","","","25","15","15"
"slowpoke","18","super","","","1","25","35"
"slowpoke","20","surf","","","20","15","15"
"slowpoke","20","surf","","","20","15","15"
"slowpoke","20","surf","","","15","15","15"
"slowpoke","20","surf","","","10","15","15"
"slowpoke","20","surf","","","10","15","15"
"slowpoke","20","surf","","","10","15","15"
"slowpoke","20","surf","","","5","15","15"
"slowpoke","20","surf","","","5","15","15"
"slowpoke","30","super","","","1","25","35"
"slowpoke","31","super","","","4","15","25"
"slowpoke","31","super","","","1","25","35"
"slowpoke","31","surf","","","60","20","25"
"slowpoke","31","surf","","","30","20","25"
"slowpoke","31","surf","","","5","25","30"
"slowpoke","31","surf","","","4","30","35"
"slowpoke","31","surf","","","1","35","40"
"slowpoke","32","super","","","1","25","35"
"slowpoke","33","super","","","4","15","25"
"slowpoke","33","super","","","1","25","35"
"slowpoke","33","surf","","","60","20","25"
"slowpoke","33","surf","","","30","20","25"
"slowpoke","33","surf","","","5","25","30"
"slowpoke","33","surf","","","4","30","35"
"slowpoke","33","surf","","","1","35","40"
"slowpoke","224","walk","","","10","21","21"
"slowpoke","224","walk","","","4","23","23"
"slowpoke","224","walk","","","1","23","23"
"slowpoke","224","surf","","","30","20","24"
"slowpoke","51","super","","","4","15","25"
"slowpoke","51","super","","","1","25","35"
"slowpoke","51","surf","","","60","30","40"
"slowpoke","51","surf","","","4","40","50"
"slowpoke","51","surf","","","1","40","50"
"slowpoke","53","super","","","4","15","25"
"slowpoke","53","surf","","","60","40","50"
"slowpoke","53","surf","","","4","50","60"
"slowpoke","53","surf","","","1","50","60"
"slowpoke","61","super","","","4","15","25"
"slowpoke","61","super","","","1","25","35"
"slowpoke","61","surf","","","60","20","25"
"slowpoke","61","surf","","","30","20","25"
"slowpoke","61","surf","","","5","25","30"
"slowpoke","61","surf","","","4","30","35"
"slowpoke","61","surf","","","1","35","40"
"slowpoke","77","super","","","25","15","15"
"slowpoke","78","super","","","25","15","15"
"slowpoke","79","super","","","25","15","15"
"slowpoke","80","super","","","25","15","15"
"slowpoke","91","super","","","1","25","35"
"slowpoke","100","walk","","","5","31","31"
"slowpoke","100","super","","","4","15","25"
"slowpoke","100","super","","","1","25","35"
"slowpoke","100","surf","","","60","5","20"
"slowpoke","100","surf","","","30","20","35"
"slowpoke","100","surf","","","5","35","40"
"slowpoke","101","walk","","","5","41","41"
"slowpoke","101","super","","","4","15","25"
"slowpoke","101","super","","","1","25","35"
"slowpoke","101","surf","","","30","5","35"
"slowpoke","104","walk","","","5","41","41"
"slowpoke","104","super","","","1","25","35"
"slowpoke","117","walk","","","5","34","34"
"slowpoke","117","super","","","1","25","35"
"slowpoke","118","walk","","","5","31","31"
"slowpoke","118","super","","","1","25","35"
"slowpoke","119","walk","","","5","31","31"
"slowpoke","119","super","","","4","15","25"
"slowpoke","119","super","","","1","25","35"
"slowpoke","119","surf","","","60","5","20"
"slowpoke","119","surf","","","30","20","35"
"slowpoke","119","surf","","","5","35","40"
"slowpoke","120","walk","","","5","31","31"
"slowpoke","120","super","","","1","25","35"
"slowpoke","122","super","","","1","25","35"
"slowpoke","123","super","","","1","25","35"
"slowpoke","124","walk","","","5","41","41"
"slowpoke","124","super","","","1","25","35"
"slowpoke","125","super","","","1","25","35"
"slowpoke","126","super","","","1","25","35"
"slowpoke","127","super","","","1","25","35"
"slowpoke","128","walk","","","5","41","41"
"slowpoke","128","super","","","1","25","35"
"slowpoke","129","walk","","","5","41","41"
"slowpoke","129","super","","","4","15","25"
"slowpoke","129","super","","","1","25","35"
"slowpoke","130","super","","","1","25","35"
"slowpoke","131","walk","","","5","41","41"
"slowpoke","133","super","","","1","25","35"
"slowpoke","134","super","","","1","25","35"
"slowpoke","135","super","","","4","15","25"
"slowpoke","135","super","","","1","25","35"
"slowpoke","135","surf","","","30","5","35"
"slowpoke","136","super","","","1","25","35"
"slowbro","210","surf","","","10","20","24"
"slowbro","46","walk","","","1","38","38"
"slowbro","47","walk","","","4","33","33"
"slowbro","47","walk","","","1","35","35"
"slowbro","48","walk","","","1","37","37"
"slowbro","49","walk","","","10","32","32"
"slowbro","49","walk","","","5","34","34"
"slowbro","49","surf","","","1","35","40"
"slowbro","50","walk","","","4","39","39"
"slowbro","19","surf","","","4","15","15"
"slowbro","19","surf","","","1","20","20"
"slowbro","3","super","","","4","25","35"
"slowbro","20","surf","","","4","15","15"
"slowbro","20","surf","","","1","20","20"
"slowbro","51","super","","","25","23","23"
"slowbro","53","super","","","25","23","23"
"slowbro","61","super","","","25","23","23"
"slowbro","100","surf","","","4","35","40"
"slowbro","100","surf","","","1","35","40"
"slowbro","119","walk","","","4","37","37"
"slowbro","119","walk","","","1","40","40"
"slowbro","119","surf","","","4","35","40"
"slowbro","119","surf","","","1","35","40"
"magnemite","381","walk","weather","rain","20","29","29"
"magnemite","381","walk","weather","rain","20","28","28"
"magnemite","504","walk","radar","off ","10","39","39"
"magnemite","191","walk","weather","sunny","20","16","16"
"magnemite","191","walk","time","day ","20","16","16"
"magnemite","191","walk","weather","rain","20","16","16"
"magnemite","191","walk","time","morning ","20","16","16"
"magnemite","191","walk","weather","rain","20","16","16"
"magnemite","191","walk","time","night ","20","16","16"
"magnemite","191","walk","weather","rain","20","16","16"
"magnemite","192","walk","time","day ","20","16","16"
"magnemite","192","walk","time","morning ","20","16","16"
"magnemite","192","walk","time","night ","20","16","16"
"magnemite","42","walk","time","morning ","10","15","15"
"magnemite","42","walk","time","day ","10","15","15"
"magnemite","42","walk","time","night ","10","15","15"
"magnemite","17","walk","","","20","16","16"
"magnemite","17","walk","","","15","18","18"
"magnemite","17","walk","","","10","20","20"
"magnemite","17","walk","","","5","22","22"
"magnemite","18","walk","","","20","15","15"
"magnemite","62","walk","","","20","21","21"
"magnemite","62","walk","","","10","23","23"
"magnemite","291","walk","","","20","24","24"
"magnemite","291","walk","","","10","25","25"
"magnemite","291","walk","","","10","23","23"
"magnemite","291","walk","","","5","26","26"
"magnemite","291","walk","","","4","22","22"
"magnemite","291","walk","","","1","22","22"
"magnemite","292","walk","","","20","24","24"
"magnemite","292","walk","","","10","25","25"
"magnemite","292","walk","","","10","23","23"
"magnemite","292","walk","","","5","26","26"
"magnemite","292","walk","","","4","22","22"
"magneton","420","walk","","","20","41","41"
"magneton","420","walk","","","10","43","43"
"magneton","504","walk","","","4","41","41"
"magneton","504","walk","radar","off ","1","41","41"
"magneton","51","walk","","","15","46","46"
"magneton","52","walk","","","10","52","52"
"magneton","53","walk","","","10","55","55"
"magneton","62","walk","","","5","32","32"
"magneton","62","walk","","","5","35","35"
"magneton","292","walk","","","1","26","26"
"farfetchd","503","walk","weather","rain","20","28","28"
"farfetchd","503","walk","weather","snow","20","28","28"
"farfetchd","191","walk","weather","rain","10","16","16"
"farfetchd","191","walk","time","day ","10","16","16"
"farfetchd","191","walk","weather","sunny","10","16","16"
"farfetchd","191","walk","time","morning ","10","16","16"
"farfetchd","191","walk","weather","cloudy","10","16","16"
"farfetchd","192","walk","time","day ","10","16","16"
"farfetchd","192","walk","time","morning ","10","16","16"
"farfetchd","196","walk","time","day ","20","16","16"
"farfetchd","196","walk","time","morning ","20","16","16"
"farfetchd","200","walk","weather","cloudy","20","35","35"
"farfetchd","200","walk","time","morning ","20","35","35"
"farfetchd","200","walk","weather","cloudy","20","35","35"
"farfetchd","200","walk","time","day ","20","35","35"
"farfetchd","19","walk","","","4","26","26"
"farfetchd","19","walk","","","1","31","31"
"farfetchd","203","walk","time","morning ","20","25","25"
"farfetchd","203","walk","time","day ","20","25","25"
"farfetchd","20","walk","","","4","26","26"
"farfetchd","20","walk","","","1","31","31"
"doduo","474","walk","weather","snow","20","2","2"
"doduo","474","walk","weather","snow","20","2","2"
"doduo","174","walk","time","morning ","5","41","41"
"doduo","174","walk","time","day ","5","41","41"
"doduo","34","walk","time","day ","30","28","28"
"doduo","34","walk","time","morning ","30","28","28"
"doduo","34","walk","time","day ","10","30","30"
"doduo","34","walk","time","morning ","10","30","30"
"doduo","35","walk","time","day ","30","28","28"
"doduo","35","walk","time","morning ","30","28","28"
"doduo","35","walk","time","day ","20","30","30"
"doduo","35","walk","time","morning ","20","30","30"
"doduo","36","walk","time","day ","5","41","41"
"doduo","36","walk","time","morning ","5","41","41"
"doduo","23","walk","","","10","20","20"
"doduo","23","walk","","","10","18","18"
"doduo","23","walk","","","5","22","22"
"doduo","24","walk","","","10","24","24"
"doduo","24","walk","","","10","26","26"
"doduo","24","walk","","","5","28","28"
"doduo","25","walk","","","10","24","24"
"doduo","25","walk","","","10","26","26"
"doduo","25","walk","","","5","28","28"
"doduo","31","walk","time","morning ","10","4","4"
"doduo","31","walk","time","day ","10","4","4"
"doduo","78","walk","","","20","26","26"
"doduo","80","walk","","","20","26","26"
"doduo","335","walk","","","10","27","27"
"doduo","335","walk","","","5","29","29"
"doduo","337","walk","","","10","25","25"
"doduo","338","walk","","","10","25","25"
"dodrio","174","walk","time","morning ","4","43","43"
"dodrio","174","walk","time","day ","4","43","43"
"dodrio","174","walk","time","morning ","1","43","43"
"dodrio","174","walk","time","day ","1","43","43"
"dodrio","34","walk","time","morning ","5","30","30"
"dodrio","34","walk","time","day ","4","30","30"
"dodrio","34","walk","time","day ","1","30","30"
"dodrio","35","walk","time","day ","4","30","30"
"dodrio","35","walk","time","morning ","4","30","30"
"dodrio","35","walk","time","day ","1","30","30"
"dodrio","35","walk","time","morning ","1","30","30"
"dodrio","36","walk","time","day ","4","43","43"
"dodrio","36","walk","time","morning ","4","43","43"
"dodrio","36","walk","time","day ","1","43","43"
"dodrio","36","walk","time","morning ","1","43","43"
"dodrio","24","walk","","","1","29","29"
"dodrio","51","walk","","","10","49","49"
"dodrio","52","walk","","","20","51","51"
"dodrio","335","walk","","","4","29","29"
"dodrio","335","walk","","","1","31","31"
"seel","515","surf","","","30","35","45"
"seel","516","surf","","","30","35","45"
"seel","234","walk","","","10","22","22"
"seel","234","walk","","","4","24","24"
"seel","234","walk","","","1","24","24"
"seel","235","walk","","","10","23","23"
"seel","235","walk","","","4","25","25"
"seel","235","walk","","","1","25","25"
"seel","237","walk","","","10","23","23"
"seel","237","walk","","","4","25","25"
"seel","237","walk","","","1","25","25"
"seel","239","walk","","","10","24","24"
"seel","239","walk","","","4","26","26"
"seel","239","walk","","","1","26","26"
"seel","200","surf","","","30","10","20"
